dataset,retriever,qe,NDCG@10,NDCG@100,Recall@10,Recall@100,MAP@10,MAP@100
rus-nfcorpus,bm25,pqr,0.3285,0.2873,0.1651,0.2762,0.127,0.1504
rus-nfcorpus,bm25,promptprf,0.1937,0.1944,0.115,0.2447,0.0588,0.0791
rus-nfcorpus,bm25,query2doc,0.3055,0.2818,0.1541,0.2896,0.1143,0.1403
rus-nfcorpus,bm25,word2passage,0.3236,0.2922,0.155,0.2927,0.1225,0.1497
rus-nfcorpus,giga,pqr,0.3512,0.323,0.1706,0.3315,0.1265,0.1637
rus-nfcorpus,giga,promptprf,0.3211,0.292,0.155,0.3029,0.1127,0.1444
rus-nfcorpus,giga,query2doc,0.3545,0.3313,0.1718,0.3613,0.1281,0.1682
rus-nfcorpus,giga,word2passage,0.3233,0.301,0.1549,0.3247,0.1125,0.147
rus-nfcorpus,rrf,pqr,0.3672,0.3354,0.1796,0.3296,0.1408,0.1766
rus-nfcorpus,rrf,promptprf,0.3383,0.3129,0.1666,0.3258,0.1255,0.1599
rus-nfcorpus,rrf,query2doc,0.3691,0.3389,0.1807,0.3382,0.1424,0.1782
rus-nfcorpus,rrf,word2passage,0.3683,0.3364,0.1786,0.3346,0.1375,0.1745
rus-scifact,bm25,pqr,0.6778,0.7032,0.8078,0.9217,0.631,0.6367
rus-scifact,bm25,promptprf,0.5275,0.5467,0.763,0.8457,0.4481,0.4526
rus-scifact,bm25,query2doc,0.6902,0.7086,0.851,0.9317,0.6328,0.6376
rus-scifact,bm25,word2passage,0.7111,0.7315,0.8493,0.9393,0.6619,0.6666
rus-scifact,giga,pqr,0.7353,0.7558,0.8502,0.9427,0.6933,0.6981
rus-scifact,giga,promptprf,0.6055,0.6267,0.7293,0.8249,0.5595,0.5645
rus-scifact,giga,query2doc,0.7228,0.7428,0.8691,0.9643,0.6703,0.6746
rus-scifact,giga,word2passage,0.7095,0.7377,0.8273,0.9577,0.6662,0.6726
rus-scifact,rrf,pqr,0.7354,0.7568,0.8698,0.9633,0.6879,0.6932
rus-scifact,rrf,promptprf,0.679,0.7055,0.8379,0.956,0.622,0.6282
rus-scifact,rrf,query2doc,0.7437,0.7652,0.8708,0.9667,0.697,0.7022
rus-scifact,rrf,word2passage,0.7602,0.78,0.8748,0.9633,0.719,0.7235
